Move: 2_2 to 1_3, Cost: 3
Move: 2_2 to 2_7, Cost: 10
Move: 2_2 to 3_12, Cost: 21
Move: 2_2 to 4_17, Cost: 32
Move: 3_7 to 1_3, Cost: 10
Move: 3_7 to 2_7, Cost: 1
Move: 3_7 to 3_12, Cost: 10
Move: 3_7 to 4_17, Cost: 21
Move: 4_12 to 1_3, Cost: 21
Move: 4_12 to 2_7, Cost: 12
Move: 4_12 to 3_12, Cost: 1
Move: 4_12 to 4_17, Cost: 10
Move: 5_17 to 1_3, Cost: 32
Move: 5_17 to 2_7, Cost: 23
Move: 5_17 to 3_12, Cost: 12
Move: 5_17 to 4_17, Cost: 1
Move: 1_3 to 0_7, Cost: 9
Move: 1_3 to 1_12, Cost: 18
Move: 1_3 to 2_16, Cost: 27
Move: 2_7 to 0_7, Cost: 2
Move: 2_7 to 1_12, Cost: 11
Move: 2_7 to 2_16, Cost: 18
Move: 3_12 to 0_7, Cost: 13
Move: 3_12 to 1_12, Cost: 2
Move: 3_12 to 2_16, Cost: 9
Move: 4_17 to 0_7, Cost: 24
Move: 4_17 to 1_12, Cost: 13
Move: 4_17 to 2_16, Cost: 4
Move: 0_7 to 0_5, Cost: 4
Move: 0_7 to 1_10, Cost: 7
Move: 0_7 to 2_14, Cost: 16
Move: 0_7 to 3_19, Cost: 27
Move: 1_12 to 0_5, Cost: 15
Move: 1_12 to 1_10, Cost: 4
Move: 1_12 to 2_14, Cost: 5
Move: 1_12 to 3_19, Cost: 16
Move: 2_16 to 0_5, Cost: 24
Move: 2_16 to 1_10, Cost: 13
Move: 2_16 to 2_14, Cost: 4
Move: 2_16 to 3_19, Cost: 7
Move: 0_5 to 0_7, Cost: 4
Move: 0_5 to 1_12, Cost: 15
Move: 0_5 to 2_16, Cost: 24
Move: 1_10 to 0_7, Cost: 7
Move: 1_10 to 1_12, Cost: 4
Move: 1_10 to 2_16, Cost: 13
Move: 2_14 to 0_7, Cost: 16
Move: 2_14 to 1_12, Cost: 5
Move: 2_14 to 2_16, Cost: 4
Move: 3_19 to 0_7, Cost: 27
Move: 3_19 to 1_12, Cost: 16
Move: 3_19 to 2_16, Cost: 7
Move: 0_7 to 0_2, Cost: 10
Move: 0_7 to 1_7, Cost: 1
Move: 0_7 to 2_11, Cost: 10
Move: 0_7 to 3_16, Cost: 21
Move: 1_12 to 0_2, Cost: 21
Move: 1_12 to 1_7, Cost: 10
Move: 1_12 to 2_11, Cost: 3
Move: 1_12 to 3_16, Cost: 10
Move: 2_16 to 0_2, Cost: 30
Move: 2_16 to 1_7, Cost: 19
Move: 2_16 to 2_11, Cost: 10
Move: 2_16 to 3_16, Cost: 1
Move: 0_2 to 0_0, Cost: 4
Move: 0_2 to 1_5, Cost: 7
Move: 0_2 to 2_9, Cost: 16
Move: 0_2 to 3_14, Cost: 27
